,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
27060,42,management,single,tertiary,yes,0,yes,no,cellular,21,nov,824,1,yes
27088,31,management,married,secondary,no,8629,yes,no,cellular,21,nov,957,1,yes
27091,30,technician,married,secondary,no,455,yes,no,cellular,21,nov,758,1,yes
27096,34,blue-collar,single,secondary,no,4536,yes,no,cellular,21,nov,963,1,yes
27098,53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,nov,796,5,yes
27101,34,blue-collar,married,primary,no,3527,yes,no,cellular,21,nov,1022,1,yes
27105,57,management,married,tertiary,no,372,no,no,cellular,21,nov,553,3,yes
27109,41,services,single,secondary,no,92,no,no,cellular,21,nov,372,1,yes
27119,40,admin,married,primary,no,72,yes,yes,cellular,21,nov,849,1,yes
27122,46,services,married,secondary,no,2948,no,no,cellular,21,nov,893,1,yes
27123,37,admin,divorced,secondary,no,1533,yes,no,cellular,21,nov,555,4,yes
27177,31,management,married,tertiary,no,4148,yes,no,cellular,21,nov,316,3,yes
27191,58,management,married,tertiary,no,96,no,no,cellular,21,nov,850,1,yes
27228,39,unemployed,married,secondary,no,2245,no,no,cellular,21,nov,749,2,yes
27233,47,technician,married,secondary,no,834,no,yes,cellular,21,nov,902,1,yes
27234,44,management,married,tertiary,no,4119,yes,yes,telephone,21,nov,1074,1,yes
27269,45,technician,married,tertiary,no,-525,no,yes,cellular,21,nov,980,2,yes
27294,35,technician,single,tertiary,no,5301,no,no,cellular,21,nov,937,2,yes
27330,41,entrepreneur,married,primary,no,39,yes,no,cellular,21,nov,549,2,yes
27348,33,technician,single,tertiary,no,0,yes,no,cellular,21,nov,654,1,yes
27354,30,student,single,tertiary,no,2766,no,no,cellular,21,nov,834,1,yes
27378,30,student,single,tertiary,no,3300,no,no,cellular,21,nov,1571,1,yes
27382,31,management,single,tertiary,no,4718,yes,no,cellular,21,nov,536,1,yes
27396,30,admin,married,secondary,no,4457,yes,no,cellular,21,nov,566,4,yes
27405,42,management,married,tertiary,no,36,no,no,cellular,21,nov,664,3,yes
27436,49,management,married,tertiary,no,22520,no,no,cellular,21,nov,579,9,yes
27440,35,unemployed,married,primary,no,3285,no,no,cellular,21,nov,1555,2,yes
27441,59,unemployed,single,primary,no,7724,no,no,cellular,21,nov,373,3,yes
27443,31,unknown,married,secondary,no,111,no,no,cellular,21,nov,504,2,yes
27495,43,management,married,tertiary,no,2640,no,no,cellular,21,nov,314,4,yes
27512,30,technician,single,secondary,no,2734,no,no,cellular,21,nov,459,3,yes
27515,46,technician,married,secondary,no,1167,yes,no,cellular,21,nov,1540,2,yes
27518,38,management,married,tertiary,no,3436,no,no,cellular,21,nov,663,4,yes
27532,30,services,married,secondary,no,0,yes,no,cellular,21,nov,681,4,yes
27541,35,admin,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,2,yes
27551,43,technician,married,secondary,no,3288,yes,no,cellular,21,nov,775,3,yes
27555,34,management,single,tertiary,no,2633,yes,no,cellular,21,nov,705,6,yes
27559,52,blue-collar,married,secondary,no,580,no,no,cellular,21,nov,965,2,yes
27567,46,management,married,secondary,no,149,no,no,cellular,21,nov,1222,2,yes
27574,46,services,divorced,secondary,no,4329,no,no,cellular,21,nov,534,2,yes
27602,37,management,single,tertiary,no,22125,no,yes,cellular,21,nov,331,2,yes
27645,37,admin,single,secondary,no,1097,yes,no,cellular,21,nov,1555,2,yes
27658,42,management,married,tertiary,no,1275,yes,yes,cellular,21,nov,925,5,yes
27715,23,unemployed,single,primary,no,1003,no,no,telephone,27,nov,8,1,yes
27727,53,management,divorced,secondary,no,1004,no,yes,telephone,22,dec,119,1,yes
27742,59,services,divorced,secondary,no,1,yes,no,cellular,28,jan,602,1,yes
27751,42,services,married,secondary,no,774,no,no,cellular,28,jan,997,1,yes
27763,55,technician,divorced,secondary,yes,4,no,no,cellular,28,jan,1048,1,yes
27765,26,unemployed,single,tertiary,no,814,no,no,cellular,28,jan,1387,1,yes
27777,49,technician,married,secondary,no,808,yes,no,cellular,28,jan,1232,1,yes
27803,30,admin,single,secondary,no,1309,no,no,cellular,28,jan,622,1,yes
27823,34,unknown,single,secondary,no,859,no,no,cellular,28,jan,829,1,yes
27885,31,self-employed,single,tertiary,no,1657,yes,yes,cellular,28,jan,872,1,yes
27949,28,unknown,single,secondary,no,4465,no,no,cellular,28,jan,769,1,yes
28001,46,technician,divorced,tertiary,no,0,no,no,cellular,28,jan,1199,2,yes
28066,26,unemployed,single,secondary,no,622,no,no,cellular,28,jan,1451,2,yes
28095,31,services,single,secondary,no,1709,no,yes,telephone,28,jan,944,3,yes
28098,51,admin,single,tertiary,no,394,no,no,telephone,28,jan,968,2,yes
28190,32,services,single,secondary,no,486,no,no,cellular,29,jan,1181,1,yes
28197,47,blue-collar,married,secondary,no,1125,yes,no,cellular,29,jan,1101,1,yes
28220,53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,yes
28237,29,unemployed,single,primary,no,550,no,no,cellular,29,jan,801,1,yes
28239,32,technician,single,secondary,no,540,no,yes,cellular,29,jan,750,1,yes
28243,26,blue-collar,single,primary,no,941,no,no,cellular,29,jan,1165,1,yes
28244,37,unemployed,single,secondary,no,443,no,no,cellular,29,jan,1600,1,yes
28274,40,management,single,tertiary,no,1361,no,no,cellular,29,jan,1473,1,yes
28284,32,blue-collar,married,primary,no,634,no,no,cellular,29,jan,696,1,yes
28309,48,self-employed,married,tertiary,no,0,no,no,cellular,29,jan,1249,3,yes
28453,27,technician,single,tertiary,no,667,no,no,cellular,29,jan,866,2,yes
28485,33,services,single,tertiary,no,-452,no,no,cellular,29,jan,692,2,yes
28551,49,unemployed,married,primary,no,518,no,no,cellular,29,jan,1917,2,yes
28661,27,management,single,primary,yes,13,no,no,cellular,30,jan,475,3,yes
28689,60,technician,married,tertiary,no,-71,yes,yes,cellular,30,jan,1451,1,yes
28696,41,management,single,secondary,no,3234,yes,no,cellular,30,jan,2770,1,yes
28710,36,technician,single,secondary,no,98,no,no,cellular,30,jan,771,1,yes
28722,28,student,single,secondary,no,69,no,no,cellular,30,jan,532,2,yes
28728,29,services,single,unknown,no,196,no,no,cellular,30,jan,726,2,yes
28751,42,admin,divorced,secondary,no,936,no,no,cellular,30,jan,931,1,yes
28816,33,entrepreneur,single,tertiary,no,300,yes,yes,cellular,30,jan,922,5,yes
28881,31,admin,divorced,secondary,no,217,yes,no,cellular,30,jan,1776,2,yes
28901,30,blue-collar,single,secondary,no,49,no,no,cellular,30,jan,808,2,yes
28903,31,unemployed,single,primary,no,163,no,no,cellular,30,jan,707,2,yes
28904,26,services,single,secondary,no,110,no,no,cellular,30,jan,1136,2,yes
28924,62,technician,married,secondary,no,973,no,no,cellular,2,feb,326,1,yes
28931,40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,215,1,yes
28935,45,unemployed,married,secondary,no,2040,no,no,telephone,2,feb,803,1,yes
28941,55,technician,married,secondary,yes,-308,no,no,cellular,2,feb,781,1,yes
28965,62,retired,married,secondary,no,1495,no,no,cellular,2,feb,265,1,yes
28969,29,technician,single,tertiary,no,2325,no,no,cellular,2,feb,125,1,yes
28977,47,management,single,tertiary,no,86,no,no,cellular,2,feb,1086,1,yes
28981,50,unemployed,divorced,unknown,no,1088,no,no,cellular,2,feb,749,1,yes
28994,44,unemployed,married,secondary,no,0,yes,no,cellular,2,feb,699,1,yes
28997,56,unemployed,married,secondary,no,0,no,no,telephone,2,feb,492,1,yes
29024,39,student,single,tertiary,no,2103,no,no,cellular,2,feb,588,1,yes
29036,59,retired,single,secondary,no,2,no,no,telephone,2,feb,935,1,yes
29064,43,management,divorced,secondary,no,51,no,no,cellular,2,feb,430,1,yes
29100,36,admin,married,secondary,no,96,no,no,cellular,2,feb,302,1,yes
29101,31,unemployed,single,secondary,no,284,yes,no,cellular,2,feb,855,1,yes
29167,29,admin,single,secondary,no,1027,yes,no,cellular,2,feb,177,1,yes
29194,40,services,divorced,secondary,no,687,yes,no,cellular,2,feb,531,1,yes
29202,60,retired,married,tertiary,no,2557,yes,no,cellular,2,feb,415,1,yes
29229,38,management,married,tertiary,no,1308,yes,no,cellular,2,feb,626,1,yes
29244,41,services,divorced,secondary,no,840,yes,no,cellular,2,feb,938,1,yes
29249,58,management,divorced,tertiary,no,5701,no,no,cellular,2,feb,521,1,yes
29265,61,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,yes
29267,48,blue-collar,single,primary,no,8990,no,no,telephone,2,feb,1790,2,yes
29272,36,management,married,tertiary,no,630,no,no,cellular,2,feb,285,1,yes
29288,31,management,single,tertiary,no,3283,no,no,cellular,2,feb,258,1,yes
29291,30,self-employed,single,tertiary,no,432,yes,no,cellular,2,feb,402,1,yes
29293,26,technician,single,tertiary,no,15161,no,no,cellular,2,feb,280,1,yes
29310,43,admin,single,secondary,no,-247,yes,yes,cellular,2,feb,751,2,yes
29313,39,services,married,secondary,no,52,no,no,telephone,2,feb,1420,3,yes
29327,48,blue-collar,single,primary,no,623,yes,no,cellular,2,feb,1425,2,yes
29331,46,blue-collar,married,primary,no,977,no,yes,telephone,2,feb,436,3,yes
29334,26,student,single,secondary,no,0,no,no,cellular,2,feb,1223,2,yes
29343,51,technician,married,secondary,no,100,no,no,cellular,2,feb,467,2,yes
29376,28,unemployed,married,primary,no,7459,yes,no,cellular,2,feb,981,5,yes
29397,37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,yes
29430,53,blue-collar,married,secondary,no,6112,no,no,cellular,3,feb,211,1,yes
29448,29,technician,single,tertiary,no,1669,no,no,cellular,3,feb,297,1,yes
29449,57,admin,married,secondary,no,169,no,no,cellular,3,feb,369,1,yes
29454,25,admin,single,secondary,no,483,no,yes,cellular,3,feb,189,1,yes
29464,68,retired,divorced,primary,no,250,no,no,cellular,3,feb,360,1,yes
29488,36,unemployed,single,tertiary,no,1291,no,no,cellular,3,feb,298,1,yes
29493,34,management,married,tertiary,no,0,yes,no,cellular,3,feb,251,1,yes
29499,56,management,married,primary,no,0,no,no,cellular,3,feb,996,1,yes
29500,38,technician,divorced,secondary,no,902,yes,no,cellular,3,feb,650,1,yes
29501,39,blue-collar,married,primary,no,118,no,no,cellular,3,feb,906,1,yes
29505,54,technician,divorced,secondary,no,2156,yes,no,cellular,3,feb,261,1,yes
29510,32,management,single,tertiary,no,2360,no,no,cellular,3,feb,152,2,yes
29515,41,blue-collar,married,primary,no,201,yes,no,cellular,3,feb,157,1,yes
29522,48,technician,single,secondary,no,-92,yes,no,cellular,3,feb,1393,1,yes
29523,59,retired,divorced,secondary,no,514,no,no,cellular,3,feb,261,1,yes
29524,54,management,married,tertiary,no,1303,no,no,cellular,3,feb,1635,1,yes
29543,53,blue-collar,married,primary,no,751,yes,no,cellular,3,feb,1528,2,yes
29587,36,management,married,tertiary,no,254,no,no,cellular,3,feb,303,2,yes
29606,39,unemployed,single,secondary,no,-114,yes,no,cellular,3,feb,372,1,yes
29613,31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,yes
29615,38,management,married,tertiary,no,613,no,no,cellular,3,feb,239,1,yes
29633,32,management,single,tertiary,no,520,no,no,cellular,3,feb,443,2,yes
29654,30,entrepreneur,single,secondary,no,732,no,no,cellular,3,feb,1404,4,yes
29658,40,management,married,tertiary,no,1308,no,no,telephone,3,feb,1776,2,yes
29747,30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,yes
29782,28,self-employed,married,tertiary,no,0,yes,no,cellular,4,feb,546,3,yes
29792,52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,yes
29809,30,admin,single,tertiary,no,305,no,no,cellular,4,feb,227,2,yes
29822,32,technician,single,tertiary,no,1246,yes,no,cellular,4,feb,192,2,yes
29828,34,management,married,tertiary,no,73,no,no,cellular,4,feb,426,2,yes
29832,31,unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,yes
29844,57,admin,married,secondary,no,4391,no,no,telephone,4,feb,1416,1,yes
29846,31,self-employed,married,tertiary,no,168,no,no,cellular,4,feb,193,2,yes
29849,40,blue-collar,married,unknown,no,1181,yes,no,cellular,4,feb,718,2,yes
29853,29,management,married,tertiary,no,1441,yes,no,cellular,4,feb,80,2,yes
29865,75,retired,divorced,primary,no,3881,yes,no,cellular,4,feb,136,3,yes
29882,27,technician,single,tertiary,no,931,yes,no,cellular,4,feb,1078,1,yes
29895,32,admin,single,secondary,no,678,yes,no,cellular,4,feb,1579,1,yes
29898,31,management,married,tertiary,no,141,yes,no,cellular,4,feb,572,2,yes
29934,41,self-employed,single,tertiary,no,-94,yes,no,cellular,4,feb,1164,1,yes
29944,22,admin,single,tertiary,no,897,yes,no,cellular,4,feb,133,4,yes
29946,31,unemployed,single,secondary,no,1214,no,no,cellular,4,feb,974,1,yes
29961,69,retired,married,primary,no,324,no,no,cellular,4,feb,136,4,yes
29968,30,self-employed,married,tertiary,no,2666,no,no,cellular,4,feb,467,1,yes
29982,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,1226,1,yes
29985,29,management,single,tertiary,no,697,no,no,cellular,4,feb,206,1,yes
30011,45,blue-collar,married,secondary,no,7895,yes,no,cellular,4,feb,872,1,yes
30053,43,blue-collar,married,secondary,no,953,yes,no,cellular,4,feb,765,2,yes
30058,30,admin,single,tertiary,no,0,yes,no,cellular,4,feb,730,2,yes
30086,33,unknown,married,secondary,no,335,no,no,cellular,4,feb,891,2,yes
30091,28,services,single,primary,no,198,no,no,cellular,4,feb,976,2,yes
30105,56,unemployed,single,primary,no,1110,no,no,cellular,4,feb,945,2,yes
30131,39,admin,married,secondary,no,130,yes,yes,cellular,4,feb,1290,2,yes
30136,33,blue-collar,married,secondary,no,315,no,no,cellular,4,feb,146,3,yes
30140,38,technician,married,tertiary,no,4383,no,no,cellular,4,feb,1381,4,yes
30141,30,admin,single,secondary,no,313,yes,no,cellular,4,feb,1121,2,yes
30154,29,technician,married,secondary,no,273,no,no,cellular,4,feb,2775,2,yes
30176,69,management,married,tertiary,no,840,no,no,telephone,5,feb,128,3,yes
30191,44,management,married,tertiary,no,309,yes,no,cellular,5,feb,676,1,yes
30192,37,management,married,tertiary,no,57,no,no,cellular,5,feb,345,1,yes
30215,35,management,single,tertiary,no,2707,no,no,cellular,5,feb,699,1,yes
30245,31,technician,single,tertiary,no,1109,no,no,cellular,5,feb,642,1,yes
30293,27,management,single,tertiary,no,2648,no,no,cellular,5,feb,917,1,yes
30300,26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,feb,810,1,yes
30324,26,entrepreneur,single,tertiary,no,725,no,no,cellular,5,feb,1916,2,yes
30351,34,unemployed,married,primary,no,309,no,no,cellular,5,feb,578,1,yes
30353,34,admin,married,secondary,no,155,no,no,cellular,5,feb,696,2,yes
30357,37,housemaid,married,secondary,no,7433,no,yes,cellular,5,feb,630,3,yes
30364,42,technician,single,secondary,no,541,yes,no,cellular,5,feb,656,1,yes
30373,54,services,married,unknown,no,0,yes,no,cellular,5,feb,686,2,yes
30414,53,management,married,tertiary,no,1624,no,no,cellular,5,feb,158,3,yes
30440,54,technician,married,secondary,no,0,no,no,telephone,5,feb,744,3,yes
30449,34,technician,single,tertiary,no,992,yes,no,cellular,5,feb,71,2,yes
30469,48,entrepreneur,single,tertiary,no,318,yes,no,cellular,5,feb,1017,4,yes
30481,40,unemployed,married,primary,no,1908,yes,no,cellular,5,feb,1661,2,yes
30491,57,unemployed,married,secondary,no,3754,no,no,cellular,5,feb,1063,2,yes
30493,60,management,married,tertiary,no,2281,no,no,cellular,5,feb,230,2,yes
30501,25,student,single,secondary,no,2354,no,no,cellular,5,feb,226,7,yes
30508,28,technician,single,tertiary,no,676,no,no,cellular,5,feb,1138,2,yes
30530,34,entrepreneur,married,tertiary,no,1076,yes,no,cellular,5,feb,136,10,yes
30533,34,management,single,tertiary,no,1228,no,no,cellular,5,feb,263,8,yes
30538,58,management,married,tertiary,no,3342,no,no,cellular,5,feb,344,5,yes
30539,44,unemployed,divorced,tertiary,no,0,no,no,cellular,5,feb,1960,3,yes
30548,32,management,single,tertiary,no,0,no,no,cellular,5,feb,550,4,yes
30561,38,admin,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,3,yes
30591,64,retired,married,primary,no,440,no,no,cellular,6,feb,495,1,yes
30594,31,services,single,secondary,no,13,no,yes,cellular,6,feb,1019,2,yes
30617,31,management,single,tertiary,no,12857,yes,no,cellular,6,feb,158,1,yes
30627,66,technician,married,secondary,no,0,no,no,cellular,6,feb,751,1,yes
30644,37,technician,single,tertiary,no,6101,no,no,cellular,6,feb,141,1,yes
30654,33,management,married,tertiary,no,158,no,no,cellular,6,feb,192,2,yes
30669,50,management,married,tertiary,no,346,no,no,cellular,6,feb,178,1,yes
30679,60,admin,divorced,secondary,no,-41,yes,yes,cellular,6,feb,1658,1,yes
30692,33,blue-collar,single,secondary,no,697,no,no,cellular,6,feb,860,2,yes
30718,56,management,married,tertiary,no,616,no,no,cellular,6,feb,156,1,yes
30732,26,services,single,tertiary,no,1140,yes,no,cellular,6,feb,984,2,yes
30747,53,admin,married,secondary,no,849,yes,no,cellular,6,feb,3102,3,yes
30755,59,retired,divorced,tertiary,no,3444,no,no,cellular,6,feb,241,2,yes
30787,32,blue-collar,married,secondary,no,1879,no,no,cellular,6,feb,591,8,yes
30803,22,student,single,secondary,no,0,no,no,cellular,6,feb,229,6,yes
30806,34,management,married,tertiary,no,0,no,no,cellular,6,feb,787,3,yes
30857,28,self-employed,single,secondary,no,5679,yes,no,cellular,9,feb,701,4,yes
30859,39,services,married,tertiary,no,1493,no,no,cellular,9,feb,912,3,yes
30865,28,technician,single,secondary,no,313,no,no,cellular,9,feb,1183,2,yes
30886,31,self-employed,single,tertiary,no,1815,no,no,telephone,9,feb,1541,1,yes
30905,33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,126,1,yes
30907,66,retired,married,primary,no,206,no,no,cellular,9,feb,479,1,yes
30909,26,admin,single,secondary,no,255,no,no,cellular,9,feb,190,1,yes
30910,30,admin,single,secondary,no,270,no,no,cellular,9,feb,123,1,yes
30917,28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,21,yes
30959,29,technician,single,tertiary,no,673,yes,no,cellular,9,feb,835,3,yes
30992,49,services,married,secondary,no,320,no,no,telephone,9,feb,1971,4,yes
31006,34,admin,married,secondary,no,0,yes,no,cellular,10,feb,97,1,yes
31009,47,blue-collar,married,secondary,no,292,no,no,cellular,10,feb,277,1,yes
31010,42,technician,married,tertiary,no,757,no,no,cellular,10,feb,154,1,yes
31014,51,technician,married,tertiary,no,1347,yes,yes,cellular,10,feb,160,1,yes
31015,43,management,married,tertiary,no,40,no,no,cellular,10,feb,147,1,yes
31016,61,retired,married,tertiary,no,1257,no,no,cellular,10,feb,503,1,yes
31017,35,technician,single,secondary,no,1693,yes,no,cellular,10,feb,515,1,yes
31020,40,blue-collar,married,secondary,no,5060,no,no,cellular,10,feb,154,2,yes
31022,27,admin,married,tertiary,no,73,no,no,cellular,10,feb,159,1,yes
31023,31,management,divorced,tertiary,no,373,no,no,cellular,10,feb,132,6,yes
31027,32,student,single,tertiary,no,1138,no,no,telephone,10,feb,402,3,yes
31028,30,unemployed,single,tertiary,no,302,no,no,cellular,11,feb,528,3,yes
31030,31,management,married,tertiary,no,3,yes,yes,cellular,11,feb,331,1,yes
31031,33,management,married,secondary,no,369,no,no,cellular,11,feb,446,1,yes
31032,69,retired,married,primary,no,2346,no,no,cellular,11,feb,354,2,yes
31035,40,technician,divorced,tertiary,no,4736,yes,no,cellular,11,feb,285,2,yes
31043,30,services,single,secondary,no,1599,no,no,cellular,11,feb,152,2,yes
31044,41,technician,married,secondary,no,1066,no,no,cellular,11,feb,109,3,yes
31046,31,management,married,tertiary,no,2603,yes,no,cellular,11,feb,280,4,yes
31047,22,student,single,secondary,no,381,no,no,cellular,12,feb,227,1,yes
31049,22,admin,single,secondary,no,33,no,no,cellular,12,feb,369,1,yes
31050,37,admin,married,secondary,no,1314,yes,no,cellular,12,feb,118,4,yes
31053,33,management,married,tertiary,no,1778,no,no,cellular,12,feb,388,1,yes
31054,48,management,single,tertiary,no,5689,no,no,cellular,12,feb,262,1,yes
31055,85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,yes
31057,72,retired,married,tertiary,no,0,no,no,cellular,13,feb,99,1,yes
31058,46,admin,divorced,secondary,no,2232,no,no,cellular,13,feb,121,1,yes
31060,26,technician,single,tertiary,no,11862,no,no,cellular,13,feb,119,1,yes
31061,37,technician,married,tertiary,no,127,yes,no,cellular,13,feb,71,1,yes
31064,53,management,divorced,tertiary,no,2152,no,no,cellular,13,feb,75,3,yes
31065,33,management,single,tertiary,no,3552,no,no,cellular,13,feb,158,2,yes
31069,90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,152,3,yes
31071,54,admin,divorced,secondary,no,1872,no,no,cellular,13,feb,439,5,yes
31072,67,retired,married,tertiary,no,1341,no,no,cellular,13,feb,706,1,yes
31073,27,student,single,tertiary,no,3733,yes,no,telephone,13,feb,299,6,yes
31075,42,management,divorced,unknown,no,7702,no,no,cellular,16,feb,138,2,yes
31077,71,retired,married,primary,no,4657,no,no,cellular,16,feb,93,5,yes
31078,35,student,single,secondary,no,188,yes,no,cellular,16,feb,75,3,yes
31080,44,admin,divorced,secondary,no,397,yes,yes,cellular,16,feb,127,1,yes
31082,47,entrepreneur,married,tertiary,no,0,no,no,cellular,16,feb,261,2,yes
31083,44,admin,married,tertiary,no,348,yes,yes,cellular,16,feb,170,2,yes
31084,37,technician,single,secondary,no,2442,no,no,cellular,16,feb,91,3,yes
31085,37,services,married,secondary,no,1543,yes,no,cellular,16,feb,138,2,yes
31086,28,self-employed,single,tertiary,no,805,no,no,cellular,16,feb,331,1,yes
31090,21,blue-collar,single,secondary,no,2265,no,no,cellular,17,feb,92,2,yes
31093,25,management,single,tertiary,no,2506,no,no,cellular,17,feb,485,1,yes
31094,63,retired,married,secondary,no,1612,no,no,telephone,17,feb,233,2,yes
31096,32,management,single,tertiary,no,312,no,no,cellular,17,feb,232,2,yes
31097,51,technician,married,secondary,no,196,yes,yes,cellular,17,feb,88,1,yes
31099,73,retired,married,tertiary,no,459,no,no,cellular,17,feb,281,1,yes
31100,26,student,single,secondary,no,620,no,no,cellular,17,feb,104,1,yes
31101,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,yes
31102,62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,196,4,yes
31103,65,retired,married,tertiary,no,2416,no,no,cellular,17,feb,221,2,yes
31105,47,technician,married,secondary,no,335,no,no,cellular,17,feb,226,1,yes
31106,62,retired,married,unknown,no,800,no,no,cellular,17,feb,737,1,yes
31107,38,admin,married,secondary,no,755,yes,no,cellular,17,feb,120,1,yes
31108,71,retired,married,secondary,no,2850,no,no,cellular,17,feb,185,1,yes
31109,29,services,married,secondary,no,1135,yes,no,cellular,17,feb,323,1,yes
31111,61,retired,married,primary,no,197,no,no,cellular,17,feb,113,1,yes
31114,64,retired,divorced,primary,no,315,no,no,cellular,17,feb,154,1,yes
31115,57,retired,divorced,primary,no,720,no,no,telephone,17,feb,202,4,yes
31116,75,retired,married,primary,no,358,no,no,cellular,17,feb,364,11,yes
31118,37,management,married,tertiary,no,5355,no,no,telephone,17,feb,466,4,yes
31119,68,retired,married,secondary,no,445,no,no,cellular,18,feb,475,1,yes
31120,29,management,single,tertiary,no,5359,no,no,cellular,18,feb,147,1,yes
31122,51,entrepreneur,married,primary,no,1443,no,no,cellular,18,feb,172,10,yes
31123,41,technician,divorced,secondary,no,4047,yes,no,cellular,18,feb,343,1,yes
31124,24,student,single,secondary,no,23878,no,no,cellular,18,feb,185,1,yes
31126,24,blue-collar,single,secondary,no,167,no,yes,cellular,18,feb,134,2,yes
31127,39,management,single,tertiary,no,0,yes,no,cellular,18,feb,224,3,yes
31129,59,unemployed,married,secondary,no,1047,no,no,cellular,18,feb,83,3,yes
31130,85,retired,divorced,primary,no,7613,no,no,cellular,18,feb,355,3,yes
31131,31,management,married,tertiary,no,131,no,no,cellular,18,feb,332,2,yes
31132,32,technician,single,tertiary,no,2340,no,no,cellular,18,feb,89,2,yes
31133,29,management,single,tertiary,no,15459,no,no,cellular,18,feb,264,7,yes
31134,51,technician,married,secondary,no,117,no,no,cellular,18,feb,442,2,yes
31135,39,technician,married,secondary,no,2266,no,no,cellular,18,feb,208,4,yes
31136,28,student,single,secondary,no,0,no,no,cellular,18,feb,209,20,yes
31137,39,technician,married,secondary,no,4101,yes,no,cellular,18,feb,146,2,yes
31142,44,management,married,primary,no,558,no,no,cellular,19,feb,268,5,yes
31144,26,admin,single,secondary,no,2509,no,no,cellular,19,feb,654,3,yes
31146,28,management,single,tertiary,no,1287,yes,no,cellular,26,feb,65,1,yes
31147,48,management,married,tertiary,no,1808,yes,no,cellular,26,feb,245,1,yes
31148,37,technician,single,secondary,no,1130,no,no,cellular,26,feb,152,1,yes
31149,71,retired,married,tertiary,no,653,no,no,telephone,26,feb,367,1,yes
31150,62,housemaid,married,unknown,no,2021,no,no,telephone,26,feb,361,1,yes
31153,28,management,single,tertiary,no,3611,no,no,cellular,26,feb,141,2,yes
31157,26,admin,single,tertiary,no,313,no,yes,cellular,26,feb,210,2,yes
31158,43,unemployed,single,tertiary,no,983,yes,no,cellular,26,feb,97,1,yes
31163,27,unknown,single,secondary,no,1187,no,no,telephone,26,feb,232,1,yes
31173,30,management,single,tertiary,no,5561,yes,no,cellular,27,feb,195,1,yes
31178,50,management,married,unknown,no,8345,no,no,cellular,27,feb,194,1,yes
31180,25,technician,single,secondary,no,1231,yes,no,cellular,27,feb,412,5,yes
31181,25,admin,single,tertiary,no,3730,yes,no,cellular,27,feb,353,1,yes
31182,30,management,single,tertiary,no,617,no,no,cellular,27,feb,192,2,yes
31183,73,retired,married,tertiary,no,1641,yes,no,cellular,27,feb,49,2,yes
31184,31,management,single,tertiary,no,924,no,no,cellular,27,feb,172,1,yes
31187,28,technician,single,tertiary,no,2489,yes,no,telephone,27,feb,342,2,yes
31188,66,retired,married,secondary,no,995,no,no,cellular,27,feb,131,2,yes
31190,41,management,married,secondary,no,280,yes,no,cellular,27,feb,87,2,yes
31191,46,technician,married,secondary,no,3434,no,yes,cellular,27,feb,115,1,yes
31192,42,unemployed,married,tertiary,no,576,no,no,cellular,27,feb,156,1,yes
31193,28,technician,single,secondary,no,1363,no,no,cellular,27,feb,79,1,yes
31196,33,technician,single,tertiary,no,1636,yes,no,cellular,27,feb,165,1,yes
31198,38,technician,married,secondary,no,5115,yes,no,cellular,27,feb,99,1,yes
31199,39,blue-collar,single,primary,no,581,yes,no,cellular,27,feb,233,1,yes
31200,33,admin,single,secondary,no,607,no,no,cellular,27,feb,110,2,yes
31201,42,services,married,secondary,no,1376,yes,no,cellular,2,mar,712,4,yes
31206,35,services,married,secondary,no,52,yes,no,cellular,2,mar,378,4,yes
31208,55,technician,married,secondary,no,0,yes,yes,cellular,2,mar,116,1,yes
31210,43,blue-collar,married,primary,no,3917,no,no,cellular,2,mar,154,1,yes
31214,37,technician,married,tertiary,no,549,no,no,cellular,2,mar,239,1,yes
31218,29,management,single,tertiary,no,92,no,no,cellular,2,mar,175,5,yes
31219,49,management,married,tertiary,no,2881,no,no,cellular,2,mar,120,3,yes
31222,61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,yes
31226,44,technician,single,secondary,no,250,no,no,telephone,2,mar,382,2,yes
31229,54,admin,married,secondary,no,602,no,no,cellular,3,mar,143,2,yes
31230,28,management,single,tertiary,no,730,yes,no,cellular,3,mar,631,1,yes
31232,30,admin,single,secondary,no,523,no,yes,cellular,3,mar,83,1,yes
